2403
(-2.000000, 1.609719, 0.000000) (-2.000000, 1.609719, 0.000000) (0.000000, -955650304.000000) 
(-1.950000, 2.285949, 0.000000) (-1.950000, 2.285949, 0.000000) (0.000000, -956006400.000000) 
(-1.945000, 2.343197, 0.000000) (-1.945000, 2.343197, 0.000000) (0.000000, -955650304.000000) 
(-1.940000, 2.398334, 0.000000) (-1.945000, 2.398334, 0.000000) (0.000000, -523060.500000) 
(-1.945000, 2.343197, 0.000000) (-1.945000, 2.343197, 0.000000) (0.000000, -956006400.000000) 
(-1.940000, 2.398334, 0.000000) (-1.940000, 2.398334, 0.000000) (0.000000, -955650304.000000) 
(-1.935000, 2.451313, 0.000000) (-1.940000, 2.451313, 0.000000) (0.000000, -523060.500000) 
(-1.940000, 2.398334, 0.000000) (-1.940000, 2.398334, 0.000000) (0.000000, -956006400.000000) 
(-1.935000, 2.451313, 0.000000) (-1.935000, 2.451313, 0.000000) (0.000000, -955650304.000000) 
(-1.930000, 2.502087, 0.000000) (-1.935000, 2.502087, 0.000000) (0.000000, -523060.500000) 
(-1.935000, 2.451313, 0.000000) (-1.935000, 2.451313, 0.000000) (0.000000, -956006400.000000) 
(-1.930000, 2.502087, 0.000000) (-1.930000, 2.502087, 0.000000) (0.000000, -955650304.000000) 
(-1.925000, 2.550608, 0.000000) (-1.930000, 2.550608, 0.000000) (0.000000, -523060.500000) 
(-1.930000, 2.502087, 0.000000) (-1.930000, 2.502087, 0.000000) (0.000000, -956006400.000000) 
(-1.925000, 2.550608, 0.000000) (-1.925000, 2.550608, 0.000000) (0.000000, -955650304.000000) 
(-1.920000, 2.596834, 0.000000) (-1.925000, 2.596834, 0.000000) (0.000000, -523060.500000) 
(-1.925000, 2.550608, 0.000000) (-1.925000, 2.550608, 0.000000) (0.000000, -956006400.000000) 
(-1.920000, 2.596834, 0.000000) (-1.920000, 2.596834, 0.000000) (0.000000, -955650304.000000) 
(-1.915000, 2.640723, 0.000000) (-1.920000, 2.640723, 0.000000) (0.000000, -523060.500000) 
(-1.920000, 2.596834, 0.000000) (-1.920000, 2.596834, 0.000000) (0.000000, -956006400.000000) 
(-1.915000, 2.640723, 0.000000) (-1.915000, 2.640723, 0.000000) (0.000000, -955650304.000000) 
(-1.910000, 2.682235, 0.000000) (-1.915000, 2.682235, 0.000000) (0.000000, -523060.500000) 
(-1.915000, 2.640723, 0.000000) (-1.915000, 2.640723, 0.000000) (0.000000, -956006400.000000) 
(-1.910000, 2.682235, 0.000000) (-1.910000, 2.682235, 0.000000) (0.000000, -955650304.000000) 
(-1.905000, 2.721335, 0.000000) (-1.910000, 2.721335, 0.000000) (0.000000, -523060.500000) 
(-1.910000, 2.682235, 0.000000) (-1.910000, 2.682235, 0.000000) (0.000000, -956006400.000000) 
(-1.905000, 2.721335, 0.000000) (-1.905000, 2.721335, 0.000000) (0.000000, -955650304.000000) 
(-1.900000, 2.757985, 0.000000) (-1.905000, 2.757985, 0.000000) (0.000000, -523060.500000) 
(-1.905000, 2.721335, 0.000000) (-1.905000, 2.721335, 0.000000) (0.000000, -956006400.000000) 
(-1.900000, 2.757985, 0.000000) (-1.900000, 2.757985, 0.000000) (0.000000, -955650304.000000) 
(-1.895000, 2.792153, 0.000000) (-1.900000, 2.792153, 0.000000) (0.000000, -523060.500000) 
(-1.900000, 2.757985, 0.000000) (-1.900000, 2.757985, 0.000000) (0.000000, -956006400.000000) 
(-1.895000, 2.792153, 0.000000) (-1.895000, 2.792153, 0.000000) (0.000000, -955650304.000000) 
(-1.890000, 2.823808, 0.000000) (-1.895000, 2.823808, 0.000000) (0.000000, -523060.500000) 
(-1.895000, 2.792153, 0.000000) (-1.895000, 2.792153, 0.000000) (0.000000, -956006400.000000) 
(-1.890000, 2.823808, 0.000000) (-1.890000, 2.823808, 0.000000) (0.000000, -955650304.000000) 
(-1.885000, 2.852922, 0.000000) (-1.890000, 2.852922, 0.000000) (0.000000, -523060.500000) 
(-1.890000, 2.823808, 0.000000) (-1.890000, 2.823808, 0.000000) (0.000000, -956006400.000000) 
(-1.885000, 2.852922, 0.000000) (-1.885000, 2.852922, 0.000000) (0.000000, -955650304.000000) 
(-1.880000, 2.879468, 0.000000) (-1.885000, 2.879468, 0.000000) (0.000000, -523060.500000) 
(-1.885000, 2.852922, 0.000000) (-1.885000, 2.852922, 0.000000) (0.000000, -956006400.000000) 
(-1.880000, 2.879468, 0.000000) (-1.880000, 2.879468, 0.000000) (0.000000, -955650304.000000) 
(-1.875000, 2.903423, 0.000000) (-1.880000, 2.903423, 0.000000) (0.000000, -523060.500000) 
(-1.880000, 2.879468, 0.000000) (-1.880000, 2.879468, 0.000000) (0.000000, -956006400.000000) 
(-1.875000, 2.903423, 0.000000) (-1.875000, 2.903423, 0.000000) (0.000000, -955650304.000000) 
(-1.870000, 2.924766, 0.000000) (-1.875000, 2.924766, 0.000000) (0.000000, -523060.500000) 
(-1.875000, 2.903423, 0.000000) (-1.875000, 2.903423, 0.000000) (0.000000, -956006400.000000) 
(-1.870000, 2.924766, 0.000000) (-1.870000, 2.924766, 0.000000) (0.000000, -955650304.000000) 
(-1.865000, 2.943476, 0.000000) (-1.870000, 2.943476, 0.000000) (0.000000, -523060.500000) 
(-1.870000, 2.924766, 0.000000) (-1.870000, 2.924766, 0.000000) (0.000000, -956006400.000000) 
(-1.865000, 2.943476, 0.000000) (-1.865000, 2.943476, 0.000000) (0.000000, -955650304.000000) 
(-1.860000, 2.959537, 0.000000) (-1.865000, 2.959537, 0.000000) (0.000000, -523060.500000) 
(-1.865000, 2.943476, 0.000000) (-1.865000, 2.943476, 0.000000) (0.000000, -956006400.000000) 
(-1.860000, 2.959537, 0.000000) (-1.860000, 2.959537, 0.000000) (0.000000, -955650304.000000) 
(-1.855000, 2.972935, 0.000000) (-1.860000, 2.972935, 0.000000) (0.000000, -523060.500000) 
(-1.860000, 2.959537, 0.000000) (-1.860000, 2.959537, 0.000000) (0.000000, -956006400.000000) 
(-1.855000, 2.972935, 0.000000) (-1.855000, 2.972935, 0.000000) (0.000000, -955650304.000000) 
(-1.850000, 2.983658, 0.000000) (-1.855000, 2.983658, 0.000000) (0.000000, -523060.500000) 
(-1.855000, 2.972935, 0.000000) (-1.855000, 2.972935, 0.000000) (0.000000, -956006400.000000) 
(-1.850000, 2.983658, 0.000000) (-1.850000, 2.983658, 0.000000) (0.000000, -955650304.000000) 
(-1.845000, 2.991695, 0.000000) (-1.850000, 2.991695, 0.000000) (0.000000, -523060.500000) 
(-1.850000, 2.983658, 0.000000) (-1.850000, 2.983658, 0.000000) (0.000000, -956006400.000000) 
(-1.845000, 2.991695, 0.000000) (-1.845000, 2.991695, 0.000000) (0.000000, -955650304.000000) 
(-1.840000, 2.997040, 0.000000) (-1.845000, 2.997040, 0.000000) (0.000000, -523060.500000) 
(-1.845000, 2.991695, 0.000000) (-1.845000, 2.991695, 0.000000) (0.000000, -956006400.000000) 
(-1.840000, 2.997040, 0.000000) (-1.840000, 2.997040, 0.000000) (0.000000, -955650304.000000) 
(-1.835000, 2.999688, 0.000000) (-1.840000, 2.999688, 0.000000) (0.000000, -523060.500000) 
(-1.840000, 2.997040, 0.000000) (-1.840000, 2.997040, 0.000000) (0.000000, -956006400.000000) 
(-1.835000, 2.999688, 0.000000) (-1.835000, 2.999688, 0.000000) (0.000000, -955650304.000000) 
(-1.830000, 2.999636, 0.000000) (-1.835000, 2.999636, 0.000000) (0.000000, -523060.500000) 
(-1.835000, 2.999688, 0.000000) (-1.835000, 2.999688, 0.000000) (0.000000, -956006400.000000) 
(-1.830000, 2.999636, 0.000000) (-1.830000, 2.999636, 0.000000) (0.000000, -955650304.000000) 
(-1.825000, 2.996885, 0.000000) (-1.830000, 2.996885, 0.000000) (0.000000, -523060.500000) 
(-1.830000, 2.999636, 0.000000) (-1.830000, 2.999636, 0.000000) (0.000000, -956006400.000000) 
(-1.825000, 2.996885, 0.000000) (-1.825000, 2.996885, 0.000000) (0.000000, -955650304.000000) 
(-1.820000, 2.991437, 0.000000) (-1.825000, 2.991437, 0.000000) (0.000000, -523060.500000) 
(-1.825000, 2.996885, 0.000000) (-1.825000, 2.996885, 0.000000) (0.000000, -956006400.000000) 
(-1.820000, 2.991437, 0.000000) (-1.820000, 2.991437, 0.000000) (0.000000, -955650304.000000) 
(-1.815000, 2.983297, 0.000000) (-1.820000, 2.983297, 0.000000) (0.000000, -523060.500000) 
(-1.820000, 2.991437, 0.000000) (-1.820000, 2.991437, 0.000000) (0.000000, -956006400.000000) 
(-1.815000, 2.983297, 0.000000) (-1.815000, 2.983297, 0.000000) (0.000000, -955650304.000000) 
(-1.810000, 2.972472, 0.000000) (-1.815000, 2.972472, 0.000000) (0.000000, -523060.500000) 
(-1.815000, 2.983297, 0.000000) (-1.815000, 2.983297, 0.000000) (0.000000, -956006400.000000) 
(-1.810000, 2.972472, 0.000000) (-1.810000, 2.972472, 0.000000) (0.000000, -955650304.000000) 
(-1.805000, 2.958972, 0.000000) (-1.810000, 2.958972, 0.000000) (0.000000, -523060.500000) 
(-1.810000, 2.972472, 0.000000) (-1.810000, 2.972472, 0.000000) (0.000000, -956006400.000000) 
(-1.805000, 2.958972, 0.000000) (-1.805000, 2.958972, 0.000000) (0.000000, -955650304.000000) 
(-1.800000, 2.942809, 0.000000) (-1.805000, 2.942809, 0.000000) (0.000000, -523060.500000) 
(-1.805000, 2.958972, 0.000000) (-1.805000, 2.958972, 0.000000) (0.000000, -956006400.000000) 
(-1.800000, 2.942809, 0.000000) (-1.800000, 2.942809, 0.000000) (0.000000, -955650304.000000) 
(-1.795000, 2.923998, 0.000000) (-1.800000, 2.923998, 0.000000) (0.000000, -523060.500000) 
(-1.800000, 2.942809, 0.000000) (-1.800000, 2.942809, 0.000000) (0.000000, -956006400.000000) 
(-1.795000, 2.923998, 0.000000) (-1.795000, 2.923998, 0.000000) (0.000000, -955650304.000000) 
(-1.790000, 2.902556, 0.000000) (-1.795000, 2.902556, 0.000000) (0.000000, -523060.500000) 
(-1.795000, 2.923998, 0.000000) (-1.795000, 2.923998, 0.000000) (0.000000, -956006400.000000) 
(-1.790000, 2.902556, 0.000000) (-1.790000, 2.902556, 0.000000) (0.000000, -955650304.000000) 
(-1.785000, 2.878501, 0.000000) (-1.790000, 2.878501, 0.000000) (0.000000, -523060.500000) 
(-1.790000, 2.902556, 0.000000) (-1.790000, 2.902556, 0.000000) (0.000000, -956006400.000000) 
(-1.785000, 2.878501, 0.000000) (-1.785000, 2.878501, 0.000000) (0.000000, -955650304.000000) 
(-1.780000, 2.851856, 0.000000) (-1.785000, 2.851856, 0.000000) (0.000000, -523060.500000) 
(-1.785000, 2.878501, 0.000000) (-1.785000, 2.878501, 0.000000) (0.000000, -956006400.000000) 
(-1.780000, 2.851856, 0.000000) (-1.780000, 2.851856, 0.000000) (0.000000, -955650304.000000) 
(-1.775000, 2.822645, 0.000000) (-1.780000, 2.822645, 0.000000) (0.000000, -523060.500000) 
(-1.780000, 2.851856, 0.000000) (-1.780000, 2.851856, 0.000000) (0.000000, -956006400.000000) 
(-1.775000, 2.822645, 0.000000) (-1.775000, 2.822645, 0.000000) (0.000000, -955650304.000000) 
(-1.770000, 2.790892, 0.000000) (-1.775000, 2.790892, 0.000000) (0.000000, -523060.500000) 
(-1.775000, 2.822645, 0.000000) (-1.775000, 2.822645, 0.000000) (0.000000, -956006400.000000) 
(-1.770000, 2.790892, 0.000000) (-1.770000, 2.790892, 0.000000) (0.000000, -955650304.000000) 
(-1.765000, 2.756629, 0.000000) (-1.770000, 2.756629, 0.000000) (0.000000, -523060.500000) 
(-1.770000, 2.790892, 0.000000) (-1.770000, 2.790892, 0.000000) (0.000000, -956006400.000000) 
(-1.765000, 2.756629, 0.000000) (-1.765000, 2.756629, 0.000000) (0.000000, -955650304.000000) 
(-1.760000, 2.719885, 0.000000) (-1.765000, 2.719885, 0.000000) (0.000000, -523060.500000) 
(-1.765000, 2.756629, 0.000000) (-1.765000, 2.756629, 0.000000) (0.000000, -956006400.000000) 
(-1.760000, 2.719885, 0.000000) (-1.760000, 2.719885, 0.000000) (0.000000, -955650304.000000) 
(-1.755000, 2.680694, 0.000000) (-1.760000, 2.680694, 0.000000) (0.000000, -523060.500000) 
(-1.760000, 2.719885, 0.000000) (-1.760000, 2.719885, 0.000000) (0.000000, -956006400.000000) 
(-1.755000, 2.680694, 0.000000) (-1.755000, 2.680694, 0.000000) (0.000000, -955650304.000000) 
(-1.750000, 2.639090, 0.000000) (-1.755000, 2.639090, 0.000000) (0.000000, -523060.500000) 
(-1.755000, 2.680694, 0.000000) (-1.755000, 2.680694, 0.000000) (0.000000, -956006400.000000) 
(-1.750000, 2.639090, 0.000000) (-1.750000, 2.639090, 0.000000) (0.000000, -955650304.000000) 
(-1.745000, 2.595110, 0.000000) (-1.750000, 2.595110, 0.000000) (0.000000, -523060.500000) 
(-1.750000, 2.639090, 0.000000) (-1.750000, 2.639090, 0.000000) (0.000000, -956006400.000000) 
(-1.745000, 2.595110, 0.000000) (-1.745000, 2.595110, 0.000000) (0.000000, -955650304.000000) 
(-1.740000, 2.548795, 0.000000) (-1.745000, 2.548795, 0.000000) (0.000000, -523060.500000) 
(-1.745000, 2.595110, 0.000000) (-1.745000, 2.595110, 0.000000) (0.000000, -956006400.000000) 
(-1.740000, 2.548795, 0.000000) (-1.740000, 2.548795, 0.000000) (0.000000, -955650304.000000) 
(-1.735000, 2.500187, 0.000000) (-1.740000, 2.500187, 0.000000) (0.000000, -523060.500000) 
(-1.740000, 2.548795, 0.000000) (-1.740000, 2.548795, 0.000000) (0.000000, -956006400.000000) 
(-1.735000, 2.500187, 0.000000) (-1.735000, 2.500187, 0.000000) (0.000000, -955650304.000000) 
(-1.730000, 2.449328, 0.000000) (-1.735000, 2.449328, 0.000000) (0.000000, -523060.500000) 
(-1.735000, 2.500187, 0.000000) (-1.735000, 2.500187, 0.000000) (0.000000, -956006400.000000) 
(-1.730000, 2.449328, 0.000000) (-1.730000, 2.449328, 0.000000) (0.000000, -955650304.000000) 
(-1.725000, 2.396266, 0.000000) (-1.730000, 2.396266, 0.000000) (0.000000, -523060.500000) 
(-1.730000, 2.449328, 0.000000) (-1.730000, 2.449328, 0.000000) (0.000000, -956006400.000000) 
(-1.725000, 2.396266, 0.000000) (-1.725000, 2.396266, 0.000000) (0.000000, -955650304.000000) 
(-1.720000, 2.341047, 0.000000) (-1.725000, 2.341047, 0.000000) (0.000000, -523060.500000) 
(-1.725000, 2.396266, 0.000000) (-1.725000, 2.396266, 0.000000) (0.000000, -956006400.000000) 
(-1.720000, 2.341047, 0.000000) (-1.720000, 2.341047, 0.000000) (0.000000, -955650304.000000) 
(-1.715000, 2.283721, 0.000000) (-1.720000, 2.283721, 0.000000) (0.000000, -523060.500000) 
(-1.720000, 2.341047, 0.000000) (-1.720000, 2.341047, 0.000000) (0.000000, -956006400.000000) 
(-1.715000, 2.283721, 0.000000) (-1.715000, 2.283721, 0.000000) (0.000000, -955650304.000000) 
(-1.710000, 2.224341, 0.000000) (-1.715000, 2.224341, 0.000000) (0.000000, -523060.500000) 
(-1.715000, 2.283721, 0.000000) (-1.715000, 2.283721, 0.000000) (0.000000, -956006400.000000) 
(-1.710000, 2.224341, 0.000000) (-1.710000, 2.224341, 0.000000) (0.000000, -955650304.000000) 
(-1.705000, 2.162957, 0.000000) (-1.710000, 2.162957, 0.000000) (0.000000, -523060.500000) 
(-1.710000, 2.224341, 0.000000) (-1.710000, 2.224341, 0.000000) (0.000000, -956006400.000000) 
(-1.705000, 2.162957, 0.000000) (-1.705000, 2.162957, 0.000000) (0.000000, -955650304.000000) 
(-1.700000, 2.099628, 0.000000) (-1.705000, 2.099628, 0.000000) (0.000000, -523060.500000) 
(-1.705000, 2.162957, 0.000000) (-1.705000, 2.162957, 0.000000) (0.000000, -956006400.000000) 
(-1.700000, 2.099628, 0.000000) (-1.700000, 2.099628, 0.000000) (0.000000, -955650304.000000) 
(-1.695000, 2.034410, 0.000000) (-1.700000, 2.034410, 0.000000) (0.000000, -523060.500000) 
(-1.700000, 2.099628, 0.000000) (-1.700000, 2.099628, 0.000000) (0.000000, -956006400.000000) 
(-1.695000, 2.034410, 0.000000) (-1.695000, 2.034410, 0.000000) (0.000000, -955650304.000000) 
(-1.690000, 1.967358, 0.000000) (-1.695000, 1.967358, 0.000000) (0.000000, -523060.500000) 
(-1.695000, 2.034410, 0.000000) (-1.695000, 2.034410, 0.000000) (0.000000, -956006400.000000) 
(-1.690000, 1.967358, 0.000000) (-1.690000, 1.967358, 0.000000) (0.000000, -955650304.000000) 
(-1.685000, 1.898539, 0.000000) (-1.690000, 1.898539, 0.000000) (0.000000, -523060.500000) 
(-1.690000, 1.967358, 0.000000) (-1.690000, 1.967358, 0.000000) (0.000000, -956006400.000000) 
(-1.685000, 1.898539, 0.000000) (-1.685000, 1.898539, 0.000000) (0.000000, -955650304.000000) 
(-1.680000, 1.828010, 0.000000) (-1.685000, 1.828010, 0.000000) (0.000000, -523060.500000) 
(-1.685000, 1.898539, 0.000000) (-1.685000, 1.898539, 0.000000) (0.000000, -956006400.000000) 
(-1.680000, 1.828010, 0.000000) (-1.680000, 1.828010, 0.000000) (0.000000, -955650304.000000) 
(-1.675000, 1.755837, 0.000000) (-1.680000, 1.755837, 0.000000) (0.000000, -523060.500000) 
(-1.680000, 1.828010, 0.000000) (-1.680000, 1.828010, 0.000000) (0.000000, -956006400.000000) 
(-1.675000, 1.755837, 0.000000) (-1.675000, 1.755837, 0.000000) (0.000000, -955650304.000000) 
(-1.670000, 1.682084, 0.000000) (-1.675000, 1.682084, 0.000000) (0.000000, -523060.500000) 
(-1.675000, 1.755837, 0.000000) (-1.675000, 1.755837, 0.000000) (0.000000, -956006400.000000) 
(-1.670000, 1.682084, 0.000000) (-1.670000, 1.682084, 0.000000) (0.000000, -955650304.000000) 
(-1.665000, 1.606814, 0.000000) (-1.670000, 1.606814, 0.000000) (0.000000, -523060.500000) 
(-1.670000, 1.682084, 0.000000) (-1.670000, 1.682084, 0.000000) (0.000000, -956006400.000000) 
(-1.665000, 1.606814, 0.000000) (-1.665000, 1.606814, 0.000000) (0.000000, -955650304.000000) 
(-1.660000, 1.530101, 0.000000) (-1.665000, 1.530101, 0.000000) (0.000000, -523060.500000) 
(-1.665000, 1.606814, 0.000000) (-1.665000, 1.606814, 0.000000) (0.000000, -956006400.000000) 
(-1.660000, 1.530101, 0.000000) (-1.660000, 1.530101, 0.000000) (0.000000, -955650304.000000) 
(-1.655000, 1.452011, 0.000000) (-1.660000, 1.452011, 0.000000) (0.000000, -523060.500000) 
(-1.660000, 1.530101, 0.000000) (-1.660000, 1.530101, 0.000000) (0.000000, -956006400.000000) 
(-1.655000, 1.452011, 0.000000) (-1.655000, 1.452011, 0.000000) (0.000000, -955650304.000000) 
(-1.650000, 1.372612, 0.000000) (-1.655000, 1.372612, 0.000000) (0.000000, -523060.500000) 
(-1.655000, 1.452011, 0.000000) (-1.655000, 1.452011, 0.000000) (0.000000, -956006400.000000) 
(-1.650000, 1.372612, 0.000000) (-1.650000, 1.372612, 0.000000) (0.000000, -955650304.000000) 
(-1.645000, 1.291980, 0.000000) (-1.650000, 1.291980, 0.000000) (0.000000, -523060.500000) 
(-1.650000, 1.372612, 0.000000) (-1.650000, 1.372612, 0.000000) (0.000000, -956006400.000000) 
(-1.645000, 1.291980, 0.000000) (-1.645000, 1.291980, 0.000000) (0.000000, -955650304.000000) 
(-1.640000, 1.210185, 0.000000) (-1.645000, 1.210185, 0.000000) (0.000000, -523060.500000) 
(-1.645000, 1.291980, 0.000000) (-1.645000, 1.291980, 0.000000) (0.000000, -956006400.000000) 
(-1.640000, 1.210185, 0.000000) (-1.640000, 1.210185, 0.000000) (0.000000, -955650304.000000) 
(-1.635000, 1.127301, 0.000000) (-1.640000, 1.127301, 0.000000) (0.000000, -523060.500000) 
(-1.640000, 1.210185, 0.000000) (-1.640000, 1.210185, 0.000000) (0.000000, -956006400.000000) 
(-1.635000, 1.127301, 0.000000) (-1.635000, 1.127301, 0.000000) (0.000000, -955650304.000000) 
(-1.630000, 1.043403, 0.000000) (-1.635000, 1.043403, 0.000000) (0.000000, -523060.500000) 
(-1.635000, 1.127301, 0.000000) (-1.635000, 1.127301, 0.000000) (0.000000, -956006400.000000) 
(-1.630000, 1.043403, 0.000000) (-1.630000, 1.043403, 0.000000) (0.000000, -955650304.000000) 
(-1.625000, 0.958563, 0.000000) (-1.630000, 0.958563, 0.000000) (0.000000, -523060.500000) 
(-1.630000, 1.043403, 0.000000) (-1.630000, 1.043403, 0.000000) (0.000000, -956006400.000000) 
(-1.625000, 0.958563, 0.000000) (-1.625000, 0.958563, 0.000000) (0.000000, -955650304.000000) 
(-1.620000, 0.872863, 0.000000) (-1.625000, 0.872863, 0.000000) (0.000000, -523060.500000) 
(-1.625000, 0.958563, 0.000000) (-1.625000, 0.958563, 0.000000) (0.000000, -956006400.000000) 
(-1.620000, 0.872863, 0.000000) (-1.620000, 0.872863, 0.000000) (0.000000, -955650304.000000) 
(-1.615000, 0.786378, 0.000000) (-1.620000, 0.786378, 0.000000) (0.000000, -523060.500000) 
(-1.620000, 0.872863, 0.000000) (-1.620000, 0.872863, 0.000000) (0.000000, -956006400.000000) 
(-1.615000, 0.786378, 0.000000) (-1.615000, 0.786378, 0.000000) (0.000000, -955650304.000000) 
(-1.610000, 0.699182, 0.000000) (-1.615000, 0.699182, 0.000000) (0.000000, -523060.500000) 
(-1.615000, 0.786378, 0.000000) (-1.615000, 0.786378, 0.000000) (0.000000, -956006400.000000) 
(-1.610000, 0.699182, 0.000000) (-1.610000, 0.699182, 0.000000) (0.000000, -955650304.000000) 
(-1.605000, 0.611360, 0.000000) (-1.610000, 0.611360, 0.000000) (0.000000, -523060.500000) 
(-1.610000, 0.699182, 0.000000) (-1.610000, 0.699182, 0.000000) (0.000000, -956006400.000000) 
(-1.605000, 0.611360, 0.000000) (-1.605000, 0.611360, 0.000000) (0.000000, -955650304.000000) 
(-1.600000, 0.522987, 0.000000) (-1.605000, 0.522987, 0.000000) (0.000000, -523060.500000) 
(-1.605000, 0.611360, 0.000000) (-1.605000, 0.611360, 0.000000) (0.000000, -956006400.000000) 
(-1.600000, 0.522987, 0.000000) (-1.600000, 0.522987, 0.000000) (0.000000, -955650304.000000) 
(-1.595000, 0.434144, 0.000000) (-1.600000, 0.434144, 0.000000) (0.000000, -523060.500000) 
(-1.600000, 0.522987, 0.000000) (-1.600000, 0.522987, 0.000000) (0.000000, -956006400.000000) 
(-1.595000, 0.434144, 0.000000) (-1.595000, 0.434144, 0.000000) (0.000000, -955650304.000000) 
(-1.590000, 0.344910, 0.000000) (-1.595000, 0.344910, 0.000000) (0.000000, -523060.500000) 
(-1.595000, 0.434144, 0.000000) (-1.595000, 0.434144, 0.000000) (0.000000, -956006400.000000) 
(-1.590000, 0.344910, 0.000000) (-1.590000, 0.344910, 0.000000) (0.000000, -955650304.000000) 
(-1.585000, 0.255363, 0.000000) (-1.590000, 0.255363, 0.000000) (0.000000, -523060.500000) 
(-1.590000, 0.344910, 0.000000) (-1.590000, 0.344910, 0.000000) (0.000000, -956006400.000000) 
(-1.585000, 0.255363, 0.000000) (-1.585000, 0.255363, 0.000000) (0.000000, -955650304.000000) 
(-1.580000, 0.165589, 0.000000) (-1.585000, 0.165589, 0.000000) (0.000000, -523060.500000) 
(-1.585000, 0.255363, 0.000000) (-1.585000, 0.255363, 0.000000) (0.000000, -956006400.000000) 
(-1.580000, 0.165589, 0.000000) (-1.580000, 0.165589, 0.000000) (0.000000, -955650304.000000) 
(-1.575000, 0.075666, 0.000000) (-1.580000, 0.075666, 0.000000) (0.000000, -523060.500000) 
(-1.580000, 0.165589, 0.000000) (-1.580000, 0.165589, 0.000000) (0.000000, -956006400.000000) 
(-1.575000, 0.075666, 0.000000) (-1.575000, 0.075666, 0.000000) (0.000000, -955650304.000000) 
(-1.570000, -0.014328, 0.000000) (-1.575000, -0.014328, 0.000000) (0.000000, -523060.500000) 
(-1.575000, 0.075666, 0.000000) (-1.575000, 0.075666, 0.000000) (0.000000, -956006400.000000) 
(-1.570000, -0.014328, 0.000000) (-1.570000, -0.014328, 0.000000) (0.000000, -955650304.000000) 
